Posting Date,Canceled,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Ref. No.,Item No.,Item/Service Description,Quantity,UoM Code,Price,Row Total
17.11.2022,N,UVS0058,SUNRISE FOOD PTE LTD,22/809705,ORM008,OTHER- INSTANT NOODLES - E ZEE,10,Manual,17,170
17.11.2022,N,UVS0058,SUNRISE FOOD PTE LTD,22/809705,POWDER-01,POWDER RED COLOURING (no.284) 450GM/TUB,2,Manual,18.5,37
17.11.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22113701,SVA005,SEAFOOD- VANNAMEI HOSO 31-40 12PKT/CTNS,600,Manual,8.5,"5,100.00"
17.11.2022,N,USVR0006,RECRUIT.COM.SG PTE LTD,INV-0652,,RECRUITMENT CONSULTANCY,0,,"2,250.00","2,250.00"
17.11.2022,N,USVA0014,ASAP FREIGHT PRIVATE LIMITED,DN220451,,LC10036 CONTAINER NO CRSU6098138 ASAPSI220263 CONTAINER DEMURRAGE CHARGES,0,,150,150
17.11.2022,N,USVA0014,ASAP FREIGHT PRIVATE LIMITED,DN220452,,LC10043 CONTAINER NO CXRU1000700 ASAPSI220274 PSA ELECTRICITY,0,,34.34,34.32
17.11.2022,N,USVA0014,ASAP FREIGHT PRIVATE LIMITED,DN220453,,LC10047 CONTAINER NO SEGU9030089 ASAPSI220283 PSA ELECTRICITY,0,,21.42,21.45
17.11.2022,N,USVS0018,SINGYI F&B PTE LTD,SY1-007501,MECHICKEN03,MARINATE CHICKEN MID JOINT 5KG/PKT,5,Manual,7.8,39
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1420,,CONTAINER NO SZLU9417847-40 9.11.22 TO 8.12.22 34 PALLETS,0,,"2,210.00","2,210.00"
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1420,,HANDLING IN OUT ONE TIME CHARGES,0,,204,204
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1420,,STUFFING /UNSTUFFING 9.09.22,0,,190,190
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1420,,STRETCH WRAPPING FILM 4ROLL,0,,34,34
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1421,,CONTAINER NO MEDU9647623-40 11.11.22 TO 8.10.12 42 PALLETS,0,,"2,730.00","2,730.00"
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1421,,HANDLING IN OUT ONE TIME CHARGES,0,,252,252
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1421,,STUFFING /UNSTUFFING 9.09.22,0,,190,190
17.11.2022,N,USVF0004,FAIRBANKS LOGISTICS PTE LTD,FB22/1421,,STRETCH WRAPPING FILM 4ROLL,0,,42,42
17.11.2022,N,USVS0026,SP SERVICES LTD,8942817563 NOV 22,,10 FISHERY PORT ROAD  19/9/22 - 16/11/22,0,,"3,301.41","3,301.42"
17.11.2022,N,USVS0026,SP SERVICES LTD,A/C 8945620683 NOV 22,,227 JURONG EAST ST 21 #06-831 SPORE 600227 19/10/22 - 16/11/22,0,,224.14,224.14
17.11.2022,N,USVS0026,SP SERVICES LTD,A/C 8945620683 NOV 22,,OTHER CHARGES,0,,2.83,2.83
17.11.2022,N,USVZ0001,Z.E. ENTERPRISE (S) PTE LTD,202211-42935,,2 NO RE-SHARPENING TREIF PUMA KNITE,0,,89.99,90
17.11.2022,N,USVZ0001,Z.E. ENTERPRISE (S) PTE LTD,202211-42935,,1 NO WELDING OF STAIRCASE,0,,120,120
17.11.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210029342,,FRIMESA B/L PORKLOIN  25KG  6 PAL   17.11.22  TO  16.12.22,0,,300.04,300
17.11.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210029342,,FRIMESA B/IN PORKLOIN  25KG  15 PAL   17.11.22  TO  16.12.22,0,,750,750
18.11.2022,N,UVT0021,T&L INDUSTRIES PTE LTD,108484,FRS001-05,FISH- RED SNAPPER FISH HEAD FROZEN 5nos/ctns,2,Manual,17,34
18.11.2022,N,UVT0021,T&L INDUSTRIES PTE LTD,108484,FSB002-03,FISH- FRESH SEABASS 500-600GM,2,Manual,8,16
18.11.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,68906,FSB002-03,FISH- FRESH SEABASS 500-600GM,5.8,Manual,6.7,38.86
18.11.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,68906,FSB002-02-02,FISH- FRESH SEABASS 800-900GM,290,Manual,6.7,"1,944.00"
18.11.2022,N,UVK0007,KENDO TRADING PTE LTD,1716417,CSOF01,CHICKEN- CHICKEN SOFTBONE,2.1,Manual,10,21
18.11.2022,N,UVK0007,KENDO TRADING PTE LTD,1716417,DUCK04,DUCK BREAST 10KG/CTNS,1.2,Manual,11,13.2
18.11.2022,N,UVK0007,KENDO TRADING PTE LTD,1716417,DUCK06,DUCK HEAD 5KG/PKT,10.1,Manual,2,20.2
18.11.2022,N,UVK0007,KENDO TRADING PTE LTD,1716417,DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),71.2,Manual,5.21,370.8
18.11.2022,N,UVJ0005,JORDON INTERNATIONAL FOOD PROCESSING P/L,22194696,OSA002,OTHER- TAIWAN SAUSAGE 10pcs 500gm+-/pkt 40pkt/ctns,200,Manual,4.7,940
18.11.2022,N,UVA0019,AMAX FOODS PTE LTD,816384,PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,"2,538.00",Manual,3.4,"8,629.20"
18.11.2022,N,UVK0002,KOH SEE LONG FOOD PTE LTD,2212430,MKI002,MUTTON- LAMB/MUTTON KIDNEY 15X1kg/ctns,75,Manual,6.8,510
18.11.2022,N,UVK0002,KOH SEE LONG FOOD PTE LTD,2212418,MKI002,MUTTON- LAMB/MUTTON KIDNEY 15X1kg/ctns,45,Manual,6.8,306
18.11.2022,N,UVK0002,KOH SEE LONG FOOD PTE LTD,2212386,MTR001,MUTTON TRIPE,30,Manual,4,120
18.11.2022,N,UVK0002,KOH SEE LONG FOOD PTE LTD,2212386,MTU007,MUTTON- SHEEP HEAD (BRAIN & TONGUE),4.9,Manual,8.8,43.12
18.11.2022,N,UVK0018,KIDA FOOD TRADING PTE LTD,133332,FTN002,FISH- FRESH TUNA (INDONESIA MAGURO),7.06,Manual,22,155.32
18.11.2022,N,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,22K12520,DUCK04-02,DUCK- SMOKE DUCK BREAST (ORIGINAL) 220gm/pcsS,100,Manual,9.5,950
18.11.2022,N,UVP0002,PIN CORPORATION PTE LTD,43558,PSHT01,PORK LACONE GERMANY,179.69,Manual,3.3,592.98
18.11.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,293778,SPH004,SEAFOOD- PRAWN HEAD/SHELL (VANNAMEI) 10x1kg/pkt,200,Manual,1.8,360
