No,Item No.,Item Description,Foreign Name,In Stock,Qty Ordered by Customers,Item Cost,Last Purchase Price,Last Purchase Date,Country of Origin,Inventory Value,Inventory Item,Item Group,Set G/L Accounts By
112,BMI004,BEEF- MINCED BEEF (UF) 300GM/PKT,??? UF 300GM,0,1,0,2.1,27.03.2023,,0,Yes,BEEF,Item Group
113,BMI005,BEEF- MINCED BEEF (SADIA) 300GM X 20PKT,,0,0,0,2.34,14.11.2022,,0,Yes,BEEF,Item Group
114,BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,??? 500GM 12KG/CTNS,0,0,0,4.7,25.10.2022,,0,Yes,BEEF,Item Group
115,BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 20X300gm,??? BUTHER'S RIDGE,160,80,0,3,08.06.2023,,0,Yes,BEEF,Item Group
116,BMI008,BEEF- MINCED BEEF 2KG/PKT,??? 2KG,0,0,0,5.7,15.04.2023,,0,Yes,BEEF,Item Group
117,BMM001,BEEF TRIMMING (FRIGON),,0,0,0,5.3,12.04.2023,,0,Yes,BEEF,Item Group
118,BMM001-02,BEEF TRIMMING WAGYU GF 65%,??? ??,30,0,0,6,20.04.2022,,0,Yes,BEEF,Item Group
119,BMM001-03,BEEF TRIMMING MELTIQUE,??? ???,0,0,0,1.7,28.06.2019,,0,Yes,BEEF,Item Group
120,BMM002,WAGYU BEEF FLAP MEAT (MELTIQUE),???,0,0,0,24.4,26.08.2022,,0,Yes,BEEF,Item Group
121,BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),?????,85,5,0,30,13.06.2023,,0,Yes,BEEF,Item Group
122,BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,500GM/PKT,221,20,0,17.5,13.06.2023,,0,Yes,BEEF,Item Group
123,BMM003-03,WAGYU MINCED CUBE 500GM/PKT,?? ???,0,0,0,17.5,31.05.2021,,0,Yes,BEEF,Item Group
124,BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),?????,111.31,0,0,29.5,12.06.2023,,0,Yes,BEEF,Item Group
125,BMS001,BEEF MEAT SLICED 6X2KG/CTNS [HALAL],??? ??,0,0,0,8.8,23.11.2022,,0,Yes,BEEF,Item Group
126,BMS0010,BEEF- A5 KAGOSHIMA BEEF SHABU-SHABU 150-160GM/PKT,A5 ??????,0,0,0,88.11,28.11.2021,,0,Yes,BEEF,Item Group
127,BMS0010-02,BEEF- A5 KAGOSHIMA BEEF SHABU-SHABU 160GM/PKT,160GM/PKT,0,0,0,11.8,31.01.2022,,0,Yes,BEEF,Item Group
128,BMS001-02,BEEF MEAT SLICED 500GM/PKT [HALAL],??? 500GM,0,0,0,5,08.04.2022,,0,Yes,BEEF,Item Group
129,BMS0011,BEEF- A5 KAGOSHIMA BEEF KIRIOTOSHI SET 200GM/PKT,,0,0,0,16.4,26.06.2020,,0,Yes,BEEF,Item Group
130,BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,??? 3.3MM 2KG,"1,278.00",464,0,8.4,10.06.2023,,0,Yes,BEEF,Item Group
131,BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,??? 2-3MM 2kg,408,64,0,8,13.06.2023,,0,Yes,BEEF,Item Group
132,BMS003-02,BEEF MEAT SLICED 2MM 1KG/PKT,??? 2MM 1KG,0,0,0,8.5,15.06.2023,,0,Yes,BEEF,Item Group
133,BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,??? 4-5mm,159,6,0,8.4,18.05.2023,,0,Yes,BEEF,Item Group
134,BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,??? 6mm,114,0,0,6.8,31.03.2023,,0,Yes,BEEF,Item Group
135,BMS006,BEEF KNUCKLE MEAT SLICED 4MM 2kg/pkt,??? 4mm,0,0,0,6.8,30.01.2020,,0,Yes,BEEF,Item Group
136,BMS007,BEEF KNUCKLE MEAT SLICED 1.7MM 2kg/pkt,??? 1.7mm,2,2,0,8.2,15.06.2023,,0,Yes,BEEF,Item Group
137,BMS008,BEEF MEAT SLICED 8MM 2kg/pkt,??? 8mm,38,0,0,8.4,21.04.2023,,0,Yes,BEEF,Item Group
138,BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 2KG/PKT,??? 2mm X 3' X 1.5',64,185.3,0,8,14.06.2023,,0,Yes,BEEF,Item Group
139,BMS008-02,BEEF MEAT SLICED 4MM X 3' X 1',??? 4mm X 3' X 1',0,0,0,7.3,05.02.2020,,0,Yes,BEEF,Item Group
140,BMS009,BEEF- A5 KAGOSHIMA BEEF YAKINIKU SLICE 150-160GM/PKT,A5 ??????,0,0,0,88.02,23.07.2020,,0,Yes,BEEF,Item Group
141,BMS009-02,BEEF- A5 KAGOSHIMA BEEF YAKINIKU SLICE 160GM/PKT,160GM/PKT A5 ??????,0,0,0,12,06.10.2021,,0,Yes,BEEF,Item Group
142,BMS009-03,BEEF- A5 KAGOSHIMA BEEF YAKINIKU,1KG/PKT,0,0,0,66.5,07.12.2021,,0,Yes,BEEF,Item Group
143,BNE001,BEEF NECK BONELESS MEAT,,0,0,0,5.3,27.10.2020,,0,Yes,BEEF,Item Group
144,BOM001,BEEF OMASUM (MINERVA BRAZIL),???,192.16,33.29,0,7.3,17.05.2023,,0,Yes,BEEF,Item Group
145,BOM001-02,BEEF OMASUM (SILVERFERN-AUST) 20KG/CTNS,??? 20KG,492.86,12.6,0,6.6,14.06.2023,,0,Yes,BEEF,Item Group
146,BOM001-03,BEEF OMASUM (QUALITY BEEF -BRAZIL),??? QUALITY BEEF,0,60.34,0,8.4,15.06.2023,,0,Yes,BEEF,Item Group
147,BOM001-04,BEEF OMASUM (SCAN) 17KG/CTNS,??? SCAN,0,0,0,7,29.05.2023,,0,Yes,BEEF,Item Group
148,BOM002,BEEF OMASUM (AFFCO),???,65.68,8.6,0,13,07.06.2023,,0,Yes,BEEF,Item Group
149,BOM002-02,BEEF BLACK OMASUM,???,21.86,25.06,0,7.58,14.06.2023,,0,Yes,BEEF,Item Group
150,BPA001,BEEF BURGER PATTIES 10pc/pkt 12X650gm,???,0,0,0,3.3,07.06.2016,,0,Yes,BEEF,Item Group
151,BPA002,BEEF BURGER PATTIES 24X227gm,???,0,0,0,2.2,04.11.2016,,0,Yes,BEEF,Item Group
