#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
62,361335,03.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,175,36-1335,,,31-Dec,31-Dec,31-Dec
63,361336,03.01.2023,UCD0049,DONG FANG DUCK RICE,DONG FANG DUCK RICE,SGD,0,0,175.4,36-1336,,,31-Dec,31-Dec,31-Dec
64,361337,03.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,24,36-1337,,,31-Dec,31-Dec,31-Dec
65,361338,03.01.2023,UCM0286,MS LEONG PHENG FUN,MS LEONG PHENG FUN,SGD,0,0,72.7,36-1338,,,31-Dec,31-Dec,31-Dec
66,361339,03.01.2023,UCB0062,BAN MIAN & FISH SOUP (ADMIRALTY),BAN MIAN & FISH SOUP (ADMIRALTY),SGD,0,0,120,36-1339,,,31-Dec,31-Dec,31-Dec
67,361340,03.01.2023,UCS0001,SI JI XIANG MIX VEG RICE,SI JI XIANG MIX VEG RICE,SGD,0,0,52,36-1340,,,31-Dec,31-Dec,31-Dec
68,362035,07.01.2023,UCS0046,SONG JI MIXED VEGTABLES RICE,SONG JI MIXED VEGTABLES RICE,SGD,0,0,234.7,36-2035,,,6-Jan,6-Jan,6-Jan
69,362036,07.01.2023,UCL0045,LEE FOOD PTE LTD,LEE FOOD PTE LTD,SGD,0,0,133.9,36-2036,,,6-Jan,6-Jan,6-Jan
70,362037,07.01.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,34,36-2037,,,6-Jan,6-Jan,6-Jan
71,362038,07.01.2023,UCM0317,MEI SHI MALA XIANG GUO,MEI SHI MALA XIANG GUO,SGD,0,0,93,36-2038,,,6-Jan,6-Jan,6-Jan
72,362039,07.01.2023,UCS0259,SHU WEI YUAN,SHU WEI YUAN,SGD,0,0,141.8,36-2039,,,6-Jan,6-Jan,6-Jan
73,362040,07.01.2023,UCH0285,HILLGOUP SECONDARY SCHOOL,HILLGOUP SECONDARY SCHOOL,SGD,0,0,212.2,36-2040,,,6-Jan,6-Jan,6-Jan
