No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
816,5851,I,10.11.2022,PCOS04,PORK COLLAR CUT 100-120GM,105,4.1,430.5
817,5851,I,10.11.2022,PFLO02,PORK FLOSS 6mm 2kgX5pkt,105,3.2,336
818,5851,I,10.11.2022,PRIB05-02,"PORK RIBLETS CUT 3"" 5KGX2PKT/CTNS",105,4,420
819,5851,I,10.11.2022,PCOS04-06,PORK COLLAR 6mm,92,4.6,423.2
820,5851,I,10.11.2022,PSTC01,PORK STOMACH SLICED 2KG/PKT,90,6.85,616.5
821,5851,I,10.11.2022,FUN003,UNAGI KABAYAKI 250GM/PKT ** 50PCS,100,5.5,550
822,5851,I,10.11.2022,PBEL20-06,SKINLESS PORK BELLY STRIPES (VAN DER MEY-HOLLAND),80,2.7,216
823,5851,I,10.11.2022,CFIL02,CHICKEN FILLET (SEARA) 2kgX6pkt,72,5.5,396
824,5851,I,10.11.2022,CWIN02-06,CHICKEN WING 90gm UP (NAT) 2kgX6pkt,60,3.45,207
825,5851,I,10.11.2022,PBEL19-05,PORK SKINLESS PORK BELLY 1CM 5KG/PKT,55,6.5,357.5
826,5851,I,10.11.2022,PBEL22-04,PORK BELLY SLICED 1cm 5kg/pkt,50,5.3,265
827,5851,I,10.11.2022,PMIN06,PORK MINCED SULINA 500gmX20pkt,49,2.8,137.2
828,5851,I,10.11.2022,BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),45,28,"1,260.00"
829,5851,I,10.11.2022,PRIB01-13,PORK MEALTY RIBLETS (AURORA) 10kg/ctn,45,3.77,169.65
830,5851,I,10.11.2022,PCHO02,PORK CHOP 8MM  5kgX2pkt,44.4,4.5,199.8
831,5851,I,10.11.2022,PS-03,PORK SHOULDER SLICED 5mm -6mm 2kg/pkt,42,3.7,155.4
832,5851,I,10.11.2022,PS-01,PORK LEG SLICED A 2kgX5pkt,34,3.4,115.6
833,5851,I,10.11.2022,DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),32.78,6,196.68
834,5851,I,10.11.2022,PSPA10,PORK- SPARERIB 500gmX20pkt (SULINA),32,4,128
835,5851,I,10.11.2022,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,30,2.5,75
836,5851,I,10.11.2022,BRE002,BEEF RIBEYE STEAK 190-220gm,29.85,11,328.35
837,5851,I,10.11.2022,FMI001-01,FISH- MILK FISH,29,4.8,139.2
838,5851,I,10.11.2022,PCOS04-03,PORK COLLAR 7-8mm,28,4.4,123.2
839,5851,I,10.11.2022,SBN002,SEAFOOD- BLACK TIGER PND 21/25 1kgX10pkt,28,12,336
840,5851,I,10.11.2022,BSH004-02,BEEF SHIN CUBE  3CM X 3CM X 3CM,27.7,7.2,199.44
841,5851,I,10.11.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,24,36,864
