No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
394,5766,I,N,07.12.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,396,4.7,"1,861.20"
395,5766,I,N,07.12.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,780,2.8,"2,184.00"
396,5737,I,N,16.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),"1,579.91",7.8,"12,323.30"
397,5737,I,N,16.11.2022,PLOB08,PORK LOIN BONE IN (FRIMESA) 25kg/ctn,"1,500.00",3,"4,500.00"
398,5737,I,N,16.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,550,3.44,"1,892.00"
399,5737,I,N,16.11.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),998.5,2,"1,997.00"
400,5737,I,N,16.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,72,3.9,280.8
401,5737,I,N,16.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),327.12,7.8,"2,551.54"
402,5737,I,N,16.11.2022,PBEL05-11,PORK BELLY SINGLE RIBBED SKIN-ON (ALIBEM-BRAZIL),754.63,4.7,"3,546.76"
403,5726,I,N,30.10.2022,CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,36,4.3,154.8
404,5718,I,N,25.10.2022,PBEL18,PORK BELLY SLICED 1.5CM 2kgX10pkt,170,5.3,901
405,5738,I,N,17.11.2022,PLOB08,PORK LOIN BONE IN (FRIMESA) 25kg/ctn,250,3,750
406,5738,I,N,17.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,875,3.72,"3,255.00"
407,5738,I,N,17.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,300,2.8,840
408,5738,I,N,17.11.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,"1,365.00",1.69,"2,306.85"
409,5738,I,N,17.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,10,35.25,352.5
410,5738,I,N,17.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,440.00",3.5,"5,040.00"
411,5738,I,N,17.11.2022,PTRI02,PORK TRIMMING FRESH,40,3,120
412,5738,I,N,17.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,50,3.72,186
413,5738,I,N,17.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,940,2.4,"2,256.00"
414,5738,I,N,17.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,3.9,234
415,5738,I,N,17.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,72,2.8,201.6
416,5738,I,N,17.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),938.43,7.8,"7,319.75"
417,5738,I,N,17.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,414,4.7,"1,945.80"
418,5738,I,N,17.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),461.72,4.7,"2,170.08"
419,5738,I,N,17.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),46.87,4.7,220.29
420,5738,I,N,17.11.2022,PBEL05-11,PORK BELLY SINGLE RIBBED SKIN-ON (ALIBEM-BRAZIL),113.61,4.7,533.97
421,5738,I,N,17.11.2022,PBEL26,PORK BELLY VALUE PACK 500gmX20pkt,46,4.35,200.1
422,5770,I,N,10.12.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),673.83,4.95,"3,335.46"
423,5739,I,N,18.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,500,3.44,"1,720.00"
424,5739,I,N,18.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,612,3.5,"2,142.00"
425,5739,I,N,18.11.2022,PFAT04,PORK BACK FAT TONNIES,122,2.28,278.16
426,5739,I,N,18.11.2022,PTRI03,PORK TRIMMING FROZEN,"1,330.00",2,"2,660.00"
427,5739,I,N,18.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,85,35.25,"2,996.25"
428,5739,I,N,18.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,144,3.9,561.6
429,5739,I,N,18.11.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,51,46.76,"2,384.76"
430,5739,I,N,18.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,450,3.72,"1,674.00"
431,5739,I,N,18.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,450,4.7,"2,115.00"
432,5739,I,N,18.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,504,3.9,"1,965.60"
433,5739,I,N,18.11.2022,BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),159.33,10.5,"1,672.97"
434,5739,I,N,18.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,756,2.8,"2,116.80"
435,5739,I,N,18.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,78,3.72,290.16
436,5739,I,N,18.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,252,2.8,705.6
437,5739,I,N,18.11.2022,CSKI01,CHICKEN SKIN 15kg/ctn,24,0.5,12
438,5739,I,N,18.11.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,44.7,6.03,269.54
439,5739,I,N,18.11.2022,PBEL22-07,PORK BELLY SLICE-CHESTNUT 2MM 200GMX30PKT/CTNS,66,4,264
440,5739,I,N,18.11.2022,PCOS06,PORK COLLAR SLICED 5mm 2KGX8PKT/CTNS,200,4.3,860
441,5677,I,N,08.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,75,36,"2,700.00"
442,5677,I,N,08.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,50,4.03,201.5
443,5677,I,N,08.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,100,3.72,372
444,5677,I,N,08.10.2022,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,"1,700.00",2.5,"4,250.00"
445,5677,I,N,08.10.2022,CQUL04,CHICKEN QUARTER LEG (SANDERSON-USA) 15kg/ctn,945,1.69,"1,597.05"
446,5677,I,N,08.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,980,2.37,"2,322.60"
447,5677,I,N,08.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,120,4,480
448,5677,I,N,08.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),680.33,8.45,"5,748.79"
449,5677,I,N,08.10.2022,BLO001,BEEF- LEG OF BEEF,263.78,6.4,"1,688.19"
450,5677,I,N,08.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,522,4.94,"2,578.68"
451,5677,I,N,08.10.2022,PTAI03,PORK TAIL (SB-DENMARK),36.45,1.5,54.68
452,5675,I,N,06.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,520,3.38,"1,757.60"
453,5675,I,N,06.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,"1,675.00",3.13,"5,242.75"
454,5675,I,N,06.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,70,46.76,"3,273.20"
455,5675,I,N,06.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),516.06,5.35,"2,760.92"
456,5675,I,N,06.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,80,4,320
457,5675,I,N,06.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,220,4,880
458,5675,I,N,06.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,828,4.19,"3,469.32"
459,5675,I,N,06.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,375,3.13,"1,173.75"
460,5675,I,N,06.10.2022,PM-02,PORK- MINCED PORK A 6X2KG/CTNS,"1,100.00",3.3,"3,630.00"
461,5733,I,N,13.12.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,42,46.76,"1,963.92"
462,5733,I,N,13.12.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,72,4,288
