pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,summary_purchases_date_range,summary_purchases_latest_date,summary_purchases_latest_price,summary_purchases_min_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price,summary_sales_median_price,summary_sales_min_price,summary_purchases_total_qty,summary_sales_total_qty,summary_sales_avg_qty_per_month,total_profit
ODU015-0５,OTHER- PRAWN DUMPLING FIGO 10'S 200GM X 30PKT,300.0,0.18,0.39,2023-08-01 - 2023-09-04,2023-08-23,1.76,1.76,2023-08-01 - 2023-09-04,2023-08-05,2.15,2.15,2.15,2.15,900.0,600.0,600.0,585.0
ODU016,OTHER- FISH & SOY ROLL 10S 300GMX30PKT/CTNS,232.0,0.34,0.75,2023-08-01 - 2023-09-04,2023-08-23,1.45,1.45,2023-08-01 - 2023-09-04,2023-09-03,2.2,2.3,2.2,1.7,510.0,2149.0,2149.0,3689.45
ODU017,OTHER- RING RING ROLL/SOYBEAN ROLL 160GM X 15PKT,5.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-26,5.56,5.56,5.56,5.56,,20.0,20.0,0.0
ODU018,OTHER- RING RING ROLL/SOYBEAN ROLL 168GM X 15PKT,272.0,0.18,0.55,2023-08-01 - 2023-09-04,2023-08-28,2.45,2.45,2023-08-01 - 2023-09-04,2023-09-03,3.0,3.1,3.0,2.85,990.0,6287.0,6287.0,8950.85
OED001,OTHER- EDAMAME IN SHELL 400GM X 25PKT,232.0,0.27,0.4,2023-08-01 - 2023-09-04,2023-09-02,1.1,1.1,2023-08-01 - 2023-09-04,2023-09-03,1.97,2.2,1.5,1.3,1000.0,3936.0,3936.0,3582.3
OED002,OTHER- EDAMAME IN SHELL (FRESH CHOICE) 400GM X 20PKT,211.0,0.28,0.7,2023-08-01 - 2023-09-04,2023-08-16,1.8,1.8,2023-08-01 - 2023-09-04,2023-09-02,2.4,2.8,2.4,2.4,400.0,528.0,528.0,1098.2
OED003,OTHER- EDAMAME BEAN (WITHOUT SHELL)  10X1KG/CTNS,110.0,0.05,0.2,2023-08-01 - 2023-09-04,2023-08-07,3.5,3.5,2023-08-01 - 2023-09-04,2023-09-01,4.5,4.6,4.3,4.3,100.0,387.0,387.0,4490.1
OED004,OTHER- EDAMAME BEAN (WITHOUT SHELL)  20X500GM/CTNS,0.0,,,,,,,2023-06-01 - 2023-09-04,2023-06-22,4.5,4.5,4.5,4.5,,1.0,1.0,0.0
OEG001,OTHER- SALTED YELLOW YOLK 50PCS/TRAY,750.0,0.1,0.05,2023-08-01 - 2023-09-04,2023-08-24,0.45,0.45,2023-08-01 - 2023-09-04,2023-09-02,0.5,0.55,0.55,0.5,1000.0,4650.0,4650.0,2282.5
OFC001,OTHER- FRIED FLAT FISH CAKE 10pcs/PKT,0.0,0.27,1.2,2023-08-01 - 2023-09-04,2023-09-02,3.3,3.3,2023-08-01 - 2023-09-04,2023-09-02,4.5,4.5,4.5,4.5,110.0,110.0,110.0,204.0
OFC003,OTHER- FISH CAKE (ROUND-SMALL) 30pcs/pkt,0.0,0.54,0.22,2023-06-01 - 2023-09-04,2023-07-13,0.2,0.17,2023-06-01 - 2023-09-04,2023-07-14,0.4,0.4,0.4,0.4,810.0,1230.0,1230.0,264.45
OFC005,OTHER- THAI FISH CAKE FIGO 500gm/pkt x 20pkt/ctns,131.0,0.53,2.72,2023-08-01 - 2023-09-04,2023-08-28,2.46,2.46,2023-08-01 - 2023-09-04,2023-09-02,3.5,5.37,3.5,2.9,500.0,1246.0,1246.0,9855.43
OFC006-02,OTHER- FISH CAKE - PANDAN FISH FACE 450gm X 20pkt (KANIKA),10.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-30,5.5,8.24,5.5,4.8,,377.0,377.0,0.0
OFF001-04,OTHER- GARLIC CRAWFISH TRIPLE CATCH 20-30g 10X750GM/CTNS,6103.0,0.3,2.09,2023-08-01 - 2023-09-04,2023-08-31,4.91,4.91,2023-08-01 - 2023-09-04,2023-09-01,8.0,11.94,7.2,7.0,6010.0,2384.0,2384.0,8523.1
OFF001-08,OTHER- MALA CRAWFISH TRIPLE CATCH 20-30g 10X750GM/CTNS,2251.0,0.11,0.9,2023-08-01 - 2023-09-04,2023-08-31,6.01,4.91,2023-08-01 - 2023-09-04,2023-09-03,8.5,11.94,8.5,7.5,2410.0,2731.0,2731.0,5984.57
