date,customer_code,customer_name,item_code,description,quantity,currency,selling_price,document_no,total,latest_purchase_price,median_price,avg_price,min_price,max_price,latest_profit_per_uom,median_profit_per_uom,avg_profit_per_uom,max_profit_per_uom,min_profit_per_uom,latest_total_profit,median_total_profit,avg_total_profit,max_total_profit,min_total_profit,latest_pc1,median_pc1,avg_pc1,max_pc1,min_pc1
2022-12-20,UCT0127,T&L INDUSTRIES PTE LTD,PBRO01,PORK- ROASTED PORK BELLY,1.0,SGD,15.5,22241222,15.5,16.67,15.835,15.835,15.0,16.67,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-0.07548387096774205,-0.021612903225806508,-0.021612903225806508,0.03225806451612903,-0.07548387096774205
2022-12-24,UCC9999,CASH (SHIYUN),PBRO01,PORK- ROASTED PORK BELLY,1.0,SGD,15.5,22242476,15.5,16.67,15.835,15.835,15.0,16.67,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-0.07548387096774205,-0.021612903225806508,-0.021612903225806508,0.03225806451612903,-0.07548387096774205
2022-12-23,UCT0127,T&L INDUSTRIES PTE LTD,PBRO01,PORK- ROASTED PORK BELLY,1.0,SGD,15.5,22242803,15.5,16.67,15.835,15.835,15.0,16.67,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-0.07548387096774205,-0.021612903225806508,-0.021612903225806508,0.03225806451612903,-0.07548387096774205
2022-12-31,UCT0127,T&L INDUSTRIES PTE LTD,PBRO01,PORK- ROASTED PORK BELLY,1.0,SGD,15.5,22245204,15.5,16.67,15.835,15.835,15.0,16.67,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-0.07548387096774205,-0.021612903225806508,-0.021612903225806508,0.03225806451612903,-0.07548387096774205
2022-10-06,UCT0127,T&L INDUSTRIES PTE LTD,OFF005-01,OTHER- SEASONED WEDGE (LAMB WESTON) 12X1KG/CTNS,1.0,SGD,5.0,22212370,5.0,5.25,5.25,5.1659999999999995,4.83,5.25,-0.25,-0.25,-0.16599999999999948,0.16999999999999993,-0.25,-0.25,-0.25,-0.16599999999999948,0.16999999999999993,-0.25,-0.05,-0.05,-0.033199999999999896,0.03399999999999999,-0.05
2022-10-07,UCT0127,T&L INDUSTRIES PTE LTD,OFF005-01,OTHER- SEASONED WEDGE (LAMB WESTON) 12X1KG/CTNS,1.0,SGD,5.0,22212381,5.0,5.25,5.25,5.1659999999999995,4.83,5.25,-0.25,-0.25,-0.16599999999999948,0.16999999999999993,-0.25,-0.25,-0.25,-0.16599999999999948,0.16999999999999993,-0.25,-0.05,-0.05,-0.033199999999999896,0.03399999999999999,-0.05
2022-10-04,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,16.5,22210845,33.0,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,6.0,-5.0,-1.0200000000000031,6.0,-5.0,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-10-10,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,16.5,22213534,33.0,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,6.0,-5.0,-1.0200000000000031,6.0,-5.0,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-10-13,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,16.5,22214351,33.0,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,6.0,-5.0,-1.0200000000000031,6.0,-5.0,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-10-14,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,16.5,22214758,33.0,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,6.0,-5.0,-1.0200000000000031,6.0,-5.0,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
