item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
SVA009-04,SEAFOOD- VANNAMEI HOSO 26-30pcs 10X1KG - G54,4.0,8.37,8.37,8.37,8.37,8.37,2022-12-15,750.0,6277.499999999999,1
SVA009-06,SEAFOOD- VANNAMEI HOSO 26-30pcs 6X2KG ECU WANGPAI,5.0,9.96,9.6,9.6,10.5,9.6,2022-11-19,940.0,9276.0,2
SVL006-02,SEAFOOD- PRAWN MEAT PND 21/25 (OCEAN ON THE ROAD) 10X1kg/pkt,3.0,9.066666666666666,7.2,10.0,10.0,7.2,2022-12-27,300.0,2440.0,2
SWC001,SEAFOOD- WHITE CLAM 40/60 or 60/80 10X1KG/CTNS,2.0,3.8,3.8,3.8,3.8,3.8,2022-12-28,100.0,380.0,1
SWC002-04,SEAFOOD- FLOWER CLAMS 30/40 500gmX20pkt/ctn (U CATCH),1.0,1.83,1.83,1.83,1.83,1.83,2022-12-30,24000.0,43920.0,1
SWC004,SEAFOOD- GONG GONG FRESH,1.0,5.0,5.0,5.0,5.0,5.0,2022-12-16,5.0,25.0,1
SWC004-01,SEAFOOD- GONG GONG 20kg,4.0,4.5,4.5,4.5,4.5,4.5,2022-12-29,580.0,2610.0,1
SWC005-01,SEAFOOD- COCKLES FRESH,2.0,5.0,5.0,5.0,5.0,5.0,2022-12-31,15.0,75.0,1
SWC006-02,SEAFOOD- BAMBOO CLAMS 10/12 10X1kg/ctn,7.0,4.0,4.0,4.0,4.0,4.0,2022-12-31,580.0,2320.0,1
fgr001-02,FISH- GROUPER 8-10pcs 2kgX 5pkt,4.0,3.2,3.2,3.2,3.2,3.2,2022-12-23,210.0,672.0,1
