vendor_code,vendor_name,item_code,description,purchase_count,avg_price,min_price,median_price,max_price,total,total_qty,latest_purchase_date,group_median_price,group_max_price,group_latest_price,num_suppliers,price_diff_from_group
UVB0019,BLU VENTURES PTE LTD,OAB004,OTHER- BRAISED CAN ABALONE 4-6pcs 425g 24can/ctns,1.0,7.5,7.5,7.5,7.5,60.0,8.0,2022-10-27,7.5,7.5,7.5,1,0.0
UVB0019,BLU VENTURES PTE LTD,OAB011-02,OTHER- HALF SHELL ABALONE 29pcs/pkt x 10pkt/ctns,1.0,29.0,29.0,29.0,29.0,290.0,10.0,2022-10-01,29.0,29.0,29.0,1,0.0
UVB0024,BRF GLOBAL GMBH,CGIZ03,CHICKEN GIZZARD PERDIGAO/ALLIZ 12 X 1KG,1.0,2.5,2.5,2.5,2.5,14970.0,5988.0,2022-11-12,2.6,2.7,2.6,4,-0.10000000000000009
UVB0024,BRF GLOBAL GMBH,CSPR04,CHICKEN- SPRING CHICKEN 900gm (PD) 10.80kg/ctn,1.0,46.51,46.51,46.51,46.51,46230.939999999995,994.0,2022-11-12,46.51,46.51,46.51,1,0.0
UVB0024,BRF GLOBAL GMBH,CWHO01,CHICKEN- WHOLE CHICKEN 1100gm (PERDIAO) 11kg/ctn,1.0,3.8,3.8,3.8,3.8,39501.0,10395.0,2022-11-12,3.8,3.8,3.8,1,0.0
UVB0024,BRF GLOBAL GMBH,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,1.0,2.36,2.36,2.36,2.36,65324.799999999996,27680.0,2022-10-11,2.36,2.36,2.36,1,0.0
UVB0024,BRF GLOBAL GMBH,PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,3.0,3.233333333333333,3.15,3.27,3.28,269058.6,83214.0,2022-12-12,3.4,3.6,3.27,6,-0.1299999999999999
UVB0024,BRF GLOBAL GMBH,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,1.0,4.29,4.29,4.29,4.29,119536.56,27864.0,2022-12-27,4.8,5.4,4.29,3,-0.5099999999999998
UVB0025,BIG HOCKEY MANUFACTURING & FOOD PROCESSING PTE LTD,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,1.0,4.1,4.1,4.1,4.1,98.39999999999999,24.0,2022-12-12,3.9,4.2,3.7,5,0.19999999999999973
UVC0001,CASH SUPPLIER (NON-GST),BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),1.0,6.9,6.9,6.9,6.9,190.785,27.65,2022-10-10,7.8,7.8,7.8,2,-0.8999999999999995
UVC0001,CASH SUPPLIER (NON-GST),BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,1.0,5.0,5.0,5.0,5.0,2435.0,487.0,2022-11-08,5.0,5.0,5.0,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),BSH004,BEEF SHIN/SHANK (QUALITY BEEF-BRAZIL),1.0,5.0,5.0,5.0,5.0,1327.55,265.51,2022-11-15,5.6,6.0,5.5,5,-0.5999999999999996
UVC0001,CASH SUPPLIER (NON-GST),BSU001-02,BEEF SUKIYAKI (BUTHER'S RIDGE) 400GMX20PKT,1.0,6.0,6.0,6.0,6.0,120.0,20.0,2022-12-14,7.0,7.0,7.0,2,-1.0
UVC0001,CASH SUPPLIER (NON-GST),BTO001,BEEF TONGUE,1.0,2.0,2.0,2.0,2.0,42.0,21.0,2022-11-17,11.5,21.0,2.0,2,-9.5
UVC0001,CASH SUPPLIER (NON-GST),CBSL07,CHICKEN BREAST (PERDIGAO) 1kgX16pkt,1.0,5.2,5.2,5.2,5.2,83.2,16.0,2022-10-10,5.2,5.2,5.2,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),2.0,4.5,4.5,4.5,4.5,1642.6799999999998,365.03999999999996,2022-10-13,5.33,6.0,5.21,2,-0.8300000000000001
UVC0001,CASH SUPPLIER (NON-GST),FBE003,FISH- BELT FISH,1.0,5.0,5.0,5.0,5.0,50.0,10.0,2022-12-06,5.0,5.0,5.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),FBE004,FISH- BELT FISH STEAK 150-200GM 10X1KG/CTNS,1.0,5.0,5.0,5.0,5.0,100.0,20.0,2022-12-13,4.5,5.0,4.5,2,0.5
UVC0001,CASH SUPPLIER (NON-GST),FCS005,FISH- SMOKED SALMON SLICED 100GM/PKT,1.0,28.0,28.0,28.0,28.0,28.0,1.0,2022-11-30,28.0,28.0,28.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),FGR004,FISH- FRESH FLOWER GROUPER,1.0,13.0,13.0,13.0,13.0,26.0,2.0,2022-11-30,10.5,13.0,11.5,3,2.5
UVC0001,CASH SUPPLIER (NON-GST),FRG002,FISH- RED SNAPPER FISH TAIL,1.0,17.5,17.5,17.5,17.5,250.25,14.3,2022-11-30,17.5,17.5,17.5,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),FRS001-02,FISH- RED SNAPPER FISH HEAD FRESH,1.0,10.5,10.5,10.5,10.5,365.4,34.8,2022-11-30,12.0,12.5,12.5,2,-1.5
UVC0001,CASH SUPPLIER (NON-GST),FRS002,FISH- FRESH RED GROUPER - BIG,1.0,25.0,25.0,25.0,25.0,107.5,4.3,2022-11-30,28.25,30.0,27.0,3,-3.25
UVC0001,CASH SUPPLIER (NON-GST),FRS003,FISH- FRESH RED GROUPER - SMALL,1.0,25.0,25.0,25.0,25.0,145.0,5.8,2022-11-30,25.0,27.0,27.0,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),FSF0023,FISH- PATIN SLICED - BONE IN WITH SKIN VACUUM PACK,1.0,2.4,2.4,2.4,2.4,120.0,50.0,2022-12-01,2.4,2.4,2.4,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),FSN003,FISH- FRESH TOMAN FILLET,1.0,9.5,9.5,9.5,9.5,581.4,61.2,2022-11-30,11.2,11.2,10.35,4,-1.6999999999999993
UVC0001,CASH SUPPLIER (NON-GST),FTI002,FISH- FRESH RED TILAPIA,1.0,6.5,6.5,6.5,6.5,30.55,4.7,2022-11-30,6.5,6.5,5.0,4,0.0
UVC0001,CASH SUPPLIER (NON-GST),MBL001-01,MUTTON BONELESS LEG (FLETCHER-AUST),1.0,10.8,10.8,10.8,10.8,12667.86,1172.95,2022-10-28,11.75,12.8,12.8,4,-0.9499999999999993
UVC0001,CASH SUPPLIER (NON-GST),MCU001,MUTTON CUBE 5kgX2pkt,1.0,11.4,11.4,11.4,11.4,114.0,10.0,2022-12-14,11.4,11.4,11.4,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),MTU001,MUTTON TRUNK 27.20kg/ctn,1.0,8.5,8.5,8.5,8.5,462.4,54.4,2022-12-17,10.195,10.3,8.5,2,-1.6950000000000003
UVC0001,CASH SUPPLIER (NON-GST),OCS002,OTHER- CHAR SIEW CUBE 1KG/PKT,1.0,13.0,13.0,13.0,13.0,260.0,20.0,2022-11-30,13.0,13.0,13.0,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),OFL002,OTHER- FRESH WHOLE FROG,1.0,23.0,23.0,23.0,23.0,48.300000000000004,2.1,2022-11-30,23.0,23.0,23.0,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),OHB001-02,OTHER- HASH BROWN (FAIRISLE/SIMPLOT) 20pcs 12pkt/ctn,1.0,3.2,3.2,3.2,3.2,38.400000000000006,12.0,2022-12-14,5.0,5.0,3.2,2,-1.7999999999999998
UVC0001,CASH SUPPLIER (NON-GST),OPO013-02,OTHER- CHICKEN BREADED MID WING (FARMPRIDE) 20X350gm/ctn,1.0,2.2,2.2,2.2,2.2,44.0,20.0,2022-10-10,2.6,3.0,3.0,2,-0.3999999999999999
UVC0001,CASH SUPPLIER (NON-GST),OYR001,OTHER- FRIED YAM RING 230gm,1.0,4.0,4.0,4.0,4.0,104.0,26.0,2022-11-30,3.8,4.0,4.0,3,0.20000000000000018
UVC0001,CASH SUPPLIER (NON-GST),PBEL05-22,PORK BELLY (BOSELER-GERMANY),3.0,2.0,2.0,2.0,2.0,108.16,54.08,2022-11-17,2.0,5.33,5.33,2,0.0
UVC0001,CASH SUPPLIER (NON-GST),PBEL06-04,PORK BELLY SKINLESS TONNIE,1.0,3.5,3.5,3.5,3.5,826.14,236.04,2022-12-30,3.5,3.5,3.5,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PBRO01,PORK- ROASTED PORK BELLY,2.0,15.835,15.0,15.835,16.67,300.03000000000003,19.0,2022-12-13,15.835,16.67,16.67,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PFER06,PORK BONE (COSTA-SPAIN),1.0,0.6,0.6,0.6,0.6,234.0,390.0,2022-11-17,0.6,0.6,0.6,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PHES01,PORK- PIG MASK (OJJ),1.0,1.8,1.8,1.8,1.8,138.6,77.0,2022-10-28,1.8,1.8,1.8,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PHES02,PORK- PIG MASK WITH MEAT - BIG (TL / JMS) 5PCS/CTNS,2.0,2.3,2.3,2.3,2.3,345.0,150.0,2022-10-22,3.5,3.5,3.5,2,-1.2000000000000002
UVC0001,CASH SUPPLIER (NON-GST),PIGB02,PORK- PIG BRAIN (PCS) 3PCS/BOX,4.0,0.6499999999999999,0.5,0.7,0.7,222.39999999999998,328.0,2022-11-12,0.7,0.7,0.7,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PLEG05-04,PORK LEG (SPAIN),5.0,2.2,2.2,2.2,2.2,217.25,98.75,2022-11-17,2.2,2.2,2.2,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PLOR01-06,PORK LOIN RIB (SEARA) 10KG,1.0,2.0,2.0,2.0,2.0,60.0,30.0,2022-11-17,5.0,5.0,5.0,2,-3.0
UVC0001,CASH SUPPLIER (NON-GST),PORT01,PORK- PORK AORTA 10kg/ctn 121/505,1.0,5.6,5.6,5.6,5.6,24.64,4.4,2022-11-28,7.8,7.8,7.8,2,-2.2
UVC0001,CASH SUPPLIER (NON-GST),PSOF010,PORK SOFTBONE (COLES-AUST),1.0,2.0,2.0,2.0,2.0,120.0,60.0,2022-11-17,2.0,2.0,2.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PSPA12,PORK- SPARERIB 18KG,1.0,3.4,3.4,3.4,3.4,1530.0,450.0,2022-12-30,3.4,3.4,3.4,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),PTAI02,PORK TAIL (COSTA FOOD MEAT) 10KG/CTNS,1.0,2.0,2.0,2.0,2.0,20.0,10.0,2022-11-17,2.0,2.0,2.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),SAUCE-08,TRUFFLE AIOLI 360ML/BTL,1.0,14.0,14.0,14.0,14.0,140.0,10.0,2022-12-21,14.0,14.0,14.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),SAUCE-09,MENTAIKO MAYO 360ML/BTL,1.0,14.0,14.0,14.0,14.0,140.0,10.0,2022-12-21,14.0,14.0,14.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),SAUCE-10,TRUFFLE MAYONNAISE 1KG/PKT,1.0,32.0,32.0,32.0,32.0,32.0,1.0,2022-12-14,32.0,32.0,32.0,1,0.0
UVC0001,CASH SUPPLIER (NON-GST),SCS001,SEAFOOD- CRAB STICK 40pkt/ctns (ORANGE STICK-MALAYSIA),1.0,0.5,0.5,0.5,0.5,408.0,816.0,2022-12-09,1.125,1.2,1.2,2,-0.625
UVC0001,CASH SUPPLIER (NON-GST),SCS003,SEAFOOD- CRAB STICK 250gmX20pkt,1.0,0.35,0.35,0.35,0.35,944.9999999999999,2700.0,2022-11-17,0.35,0.35,0.35,1,0.0
UVC0002,HY CASH SUPPLIER (NON-GST),BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,1.0,5.0,5.0,5.0,5.0,295.0,59.0,2022-11-19,5.0,5.0,5.0,2,0.0
UVC0008,CS TAY FOODS PTE LTD,OPO011,OTHER- SUPER CRISPY CHICKEN (CS TAY) 1X6KG/CTNS,7.0,8.5,8.5,8.5,8.5,1683.0,198.0,2022-12-22,8.5,8.5,8.5,1,0.0
UVC0011,CHIP HONG FARM PRODUCT,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,1.0,4.8,4.8,4.8,4.8,9600.0,2000.0,2022-11-22,4.8,4.8,4.8,1,0.0
UVC0011,CHIP HONG FARM PRODUCT,PBEL05-21,PORK BELLY PAMPLONA (BRAZIL),3.0,4.95,4.95,4.95,4.95,16146.454500000003,3261.9100000000003,2022-12-19,4.95,4.95,4.95,2,0.0
UVC0011,CHIP HONG FARM PRODUCT,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,7.0,4.0,3.9,4.0,4.2,25545.6,6456.0,2022-12-20,3.9,4.2,3.7,5,0.10000000000000009
UVC0011,CHIP HONG FARM PRODUCT,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,1.0,4.1,4.1,4.1,4.1,819.9999999999999,200.0,2022-12-12,4.0,4.2,3.43,4,0.09999999999999964
UVC0011,CHIP HONG FARM PRODUCT,PCOL10-01,PORK COLLAR IBERICO (JARMONDOR-SPAIN),2.0,19.0,19.0,19.0,19.0,1291.62,67.98,2022-12-10,19.0,21.0,21.0,2,0.0
UVC0011,CHIP HONG FARM PRODUCT,PFEE01-05,PORK- PORK FRONT TROTTER (EXCCELENCIA-BRAZIL) 20KG/CTNS,6.0,2.1999999999999997,2.2,2.2,2.2,10560.000000000002,4800.0,2022-11-07,2.2,2.2,2.2,2,0.0
UVC0011,CHIP HONG FARM PRODUCT,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,8.0,2.3249999999999997,2.3,2.3,2.5,12748.999999999998,5510.0,2022-12-17,2.4,2.5,2.4,4,-0.10000000000000009
UVC0011,CHIP HONG FARM PRODUCT,PLIV07,PORK LIVER (FOOD FAMILY) 10KG/CTNS,4.0,2.275,2.25,2.275,2.3,7820.0,3460.0,2022-12-21,2.3,2.5,2.25,2,-0.02499999999999991
UVC0011,CHIP HONG FARM PRODUCT,PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,2.0,3.6,3.6,3.6,3.6,64800.0,18000.0,2022-12-01,3.4,3.6,3.27,6,0.20000000000000018
UVC0011,CHIP HONG FARM PRODUCT,PSHT01,PORK LACONE / SHANK KNIFE CUT (AUST),4.0,3.2675,3.0,3.25,3.57,1345.2944,412.71,2022-12-28,3.3,3.57,3.0,3,-0.04999999999999982
UVC0011,CHIP HONG FARM PRODUCT,PSHT03,PORK LACONE / SHANK (WESTFLEISH-GERMANY),2.0,3.0,3.0,3.0,3.0,3115.11,1038.3700000000001,2022-12-22,3.0,3.3,3.0,2,0.0
UVC0011,CHIP HONG FARM PRODUCT,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,5.0,4.8,4.8,4.8,4.8,6652.8,1386.0,2022-12-22,4.8,5.4,4.29,3,0.0
