doc_date,payment_type,total,doc_total
2019-09-01,check_sum,1354030.75,2787784.44
2019-09-01,transfer_sum,706712.0700000001,2787784.44
2019-10-01,cash_sum,629896.45,2774042.59
2019-10-01,credit_sum,0.0,2774042.59
2019-10-01,check_sum,1243238.55,2774042.59
2019-10-01,transfer_sum,900520.17,2774042.59
2019-11-01,cash_sum,636274.26,2669479.83
2019-11-01,credit_sum,0.0,2669479.83
2019-11-01,check_sum,1227082.39,2669479.83
2019-11-01,transfer_sum,804746.71,2669479.83
2019-12-01,cash_sum,641965.9,2451455.49
2019-12-01,credit_sum,0.0,2451455.49
2019-12-01,check_sum,1016370.23,2451455.49
2019-12-01,transfer_sum,792822.51,2451455.49
2020-01-01,cash_sum,691752.0,2580372.03
2020-01-01,credit_sum,0.0,2580372.03
2020-01-01,check_sum,1205549.43,2580372.03
2020-01-01,transfer_sum,682762.0,2580372.03
2020-02-01,cash_sum,656068.8,2631848.78
2020-02-01,credit_sum,0.0,2631848.78
2020-02-01,check_sum,1179423.8499999999,2631848.78
2020-02-01,transfer_sum,796079.06,2631848.78
2020-03-01,cash_sum,683424.1,2690331.15
2020-03-01,credit_sum,0.0,2690331.15
2020-03-01,check_sum,1035281.86,2690331.15
2020-03-01,transfer_sum,971314.22,2690331.15
2020-04-01,cash_sum,536418.6,2414049.17
2020-04-01,credit_sum,0.0,2414049.17
2020-04-01,check_sum,948340.39,2414049.17
2020-04-01,transfer_sum,929096.1,2414049.17
2020-05-01,cash_sum,454518.8,2496349.64
2020-05-01,credit_sum,0.0,2496349.64
2020-05-01,check_sum,880521.98,2496349.64
2020-05-01,transfer_sum,1161119.95,2496349.64
2020-06-01,cash_sum,546130.8,2647156.74
2020-06-01,credit_sum,0.0,2647156.74
2020-06-01,check_sum,862100.76,2647156.74
2020-06-01,transfer_sum,1238646.1300000001,2647156.74
2020-07-01,cash_sum,648369.95,2779455.08
2020-07-01,credit_sum,0.0,2779455.08
2020-07-01,check_sum,1034678.16,2779455.08
2020-07-01,transfer_sum,1096089.74,2779455.08
2020-08-01,cash_sum,681310.7,3251408.87
2020-08-01,credit_sum,0.0,3251408.87
2020-08-01,check_sum,1050068.62,3251408.87
2020-08-01,transfer_sum,1519567.92,3251408.87
2020-09-01,cash_sum,636483.95,2645414.34
2020-09-01,credit_sum,0.0,2645414.34
2020-09-01,check_sum,924316.23,2645414.34
2020-09-01,transfer_sum,1084148.41,2645414.34
2020-10-01,cash_sum,752327.8,2712159.65
2020-10-01,credit_sum,0.0,2712159.65
2020-10-01,check_sum,871638.74,2712159.65
2020-10-01,transfer_sum,1087841.52,2712159.65
2020-11-01,cash_sum,623162.8,2927014.5
2020-11-01,credit_sum,0.0,2927014.5
2020-11-01,check_sum,876765.82,2927014.5
2020-11-01,transfer_sum,1426746.98,2927014.5
2020-12-01,cash_sum,662367.57,2711418.95
2020-12-01,credit_sum,0.0,2711418.95
2020-12-01,check_sum,907732.3,2711418.95
2020-12-01,transfer_sum,1140938.07,2711418.95
2021-01-01,cash_sum,668456.8,2943091.81
2021-01-01,credit_sum,0.0,2943091.81
2021-01-01,check_sum,946493.72,2943091.81
2021-01-01,transfer_sum,1327699.43,2943091.81
2021-02-01,cash_sum,548265.4,2737904.75
2021-02-01,credit_sum,0.0,2737904.75
2021-02-01,check_sum,986855.72,2737904.75
2021-02-01,transfer_sum,1202470.68,2737904.75
2021-03-01,cash_sum,651650.25,3422290.31
2021-03-01,credit_sum,0.0,3422290.31
2021-03-01,check_sum,1367398.4,3422290.31
2021-03-01,transfer_sum,1402846.92,3422290.31
2021-04-01,cash_sum,554449.9,3041040.77
2021-04-01,credit_sum,0.0,3041040.77
2021-04-01,check_sum,897595.52,3041040.77
2021-04-01,transfer_sum,1588516.05,3041040.77
2021-05-01,cash_sum,570644.95,3139286.95
2021-05-01,credit_sum,0.0,3139286.95
2021-05-01,check_sum,821172.05,3139286.95
2021-05-01,transfer_sum,1747133.95,3139286.95
2021-06-01,cash_sum,490706.65,2715879.98
2021-06-01,credit_sum,0.0,2715879.98
2021-06-01,check_sum,821215.47,2715879.98
2021-06-01,transfer_sum,1403366.1300000001,2715879.98
2021-07-01,cash_sum,568993.85,2445597.71
2021-07-01,credit_sum,0.0,2445597.71
2021-07-01,check_sum,670528.24,2445597.71
2021-07-01,transfer_sum,1205682.57,2445597.71
2021-08-01,cash_sum,538532.5,2861691.61
2021-08-01,credit_sum,0.0,2861691.61
2021-08-01,check_sum,822573.77,2861691.61
2021-08-01,transfer_sum,1500273.45,2861691.61
2021-09-01,cash_sum,478925.77999999997,2801607.61
2021-09-01,credit_sum,0.0,2801607.61
2021-09-01,check_sum,832578.09,2801607.61
2021-09-01,transfer_sum,1489849.85,2801607.61
2021-10-01,cash_sum,496152.9,2694611.18
2021-10-01,credit_sum,0.0,2694611.18
2021-10-01,check_sum,678167.75,2694611.18
2021-10-01,transfer_sum,1520015.24,2694611.18
2021-11-01,cash_sum,554270.95,2862513.56
2021-11-01,credit_sum,0.0,2862513.56
2021-11-01,check_sum,758550.75,2862513.56
2021-11-01,transfer_sum,1549355.67,2862513.56
2021-12-01,cash_sum,455431.35,3100612.79
2021-12-01,credit_sum,0.0,3100612.79
2021-12-01,check_sum,630925.57,3100612.79
2021-12-01,transfer_sum,2013981.16,3100612.79
2022-01-01,cash_sum,558146.75,3052754.77
2022-01-01,credit_sum,0.0,3052754.77
2022-01-01,check_sum,751802.74,3052754.77
2022-01-01,transfer_sum,1742508.28,3052754.77
2022-02-01,cash_sum,457343.3,3277083.23
2022-02-01,credit_sum,0.0,3277083.23
2022-02-01,check_sum,1213252.26,3277083.23
2022-02-01,transfer_sum,1606298.11,3277083.23
2022-03-01,cash_sum,528487.0,3199101.36
2022-03-01,credit_sum,0.0,3199101.36
2022-03-01,check_sum,773312.89,3199101.36
2022-03-01,transfer_sum,1897018.68,3199101.36
2022-04-01,cash_sum,534996.6,3058337.07
2022-04-01,credit_sum,0.0,3058337.07
2022-04-01,check_sum,494903.09,3058337.07
2022-04-01,transfer_sum,2028166.51,3058337.07
2022-05-01,cash_sum,485805.5,3298346.28
2022-05-01,credit_sum,0.0,3298346.28
2022-05-01,check_sum,779027.26,3298346.28
2022-05-01,transfer_sum,2033307.04,3298346.28
2022-06-01,cash_sum,513008.2,3297598.76
2022-06-01,credit_sum,0.0,3297598.76
2022-06-01,check_sum,586045.82,3297598.76
2022-06-01,transfer_sum,2198364.45,3297598.76
2022-07-01,cash_sum,533856.65,3159719.62
2022-07-01,credit_sum,0.0,3159719.62
2022-07-01,check_sum,554842.59,3159719.62
2022-07-01,transfer_sum,2070833.02,3159719.62
2022-08-01,cash_sum,556563.2,3239227.95
2022-08-01,credit_sum,0.0,3239227.95
2022-08-01,check_sum,572243.37,3239227.95
2022-08-01,transfer_sum,2110232.77,3239227.95
2022-09-01,cash_sum,527220.45,3476184.31
2022-09-01,credit_sum,0.0,3476184.31
2022-09-01,check_sum,505906.66,3476184.31
2022-09-01,transfer_sum,2442868.27,3476184.31
2022-10-01,cash_sum,498884.6,3926497.4
2022-10-01,credit_sum,0.0,3926497.4
2022-10-01,check_sum,805909.12,3926497.4
2022-10-01,transfer_sum,2621525.52,3926497.4
2022-11-01,cash_sum,492235.95,3350206.33
2022-11-01,credit_sum,0.0,3350206.33
2022-11-01,check_sum,438316.5,3350206.33
2022-11-01,transfer_sum,2419492.8,3350206.33
2022-12-01,cash_sum,469099.55,3192075.17
2022-12-01,credit_sum,0.0,3192075.17
2022-12-01,check_sum,529835.44,3192075.17
2022-12-01,transfer_sum,2192993.03,3192075.17
2023-01-01,cash_sum,487492.8,3186908.22
2023-01-01,credit_sum,0.0,3186908.22
2023-01-01,check_sum,368629.99,3186908.22
2023-01-01,transfer_sum,2330629.8,3186908.22
2023-02-01,cash_sum,455367.8,3942225.4899999998
2023-02-01,credit_sum,0.0,3942225.4899999998
2023-02-01,check_sum,379784.92,3942225.4899999998
2023-02-01,transfer_sum,3106934.32,3942225.4899999998
2023-03-01,cash_sum,496773.55,3527851.16
2023-03-01,credit_sum,0.0,3527851.16
2023-03-01,check_sum,555728.89,3527851.16
2023-03-01,transfer_sum,2475198.65,3527851.16
2023-04-01,cash_sum,424781.6,3681221.53
2023-04-01,credit_sum,0.0,3681221.53
2023-04-01,check_sum,312738.17,3681221.53
2023-04-01,transfer_sum,2943569.53,3681221.53
2023-05-01,cash_sum,492593.1,4083136.56
2023-05-01,credit_sum,0.0,4083136.56
2023-05-01,check_sum,574018.4,4083136.56
2023-05-01,transfer_sum,3016344.54,4083136.56
2023-06-01,cash_sum,419313.85,3920647.99
2023-06-01,credit_sum,0.0,3920647.99
2023-06-01,check_sum,366692.82,3920647.99
2023-06-01,transfer_sum,3134493.43,3920647.99
2023-07-01,cash_sum,395229.25,3640602.41
2023-07-01,credit_sum,0.0,3640602.41
2023-07-01,check_sum,540375.94,3640602.41
2023-07-01,transfer_sum,2704831.31,3640602.41
2023-08-01,cash_sum,250422.0,1831559.09
2023-08-01,credit_sum,0.0,1831559.09
2023-08-01,check_sum,234979.7,1831559.09
2023-08-01,transfer_sum,1346079.47,1831559.09
