doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2017-05-01,LOCAL SUPPLIERS,OTHER VENDOR,1,140170.59
2017-05-01,LOCAL SUPPLIERS,TRADE VENDOR,0,268750.45
2017-05-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1325908.44
2017-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,838176.5
2017-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,630474.11
2017-06-01,LOCAL SUPPLIERS,OTHER VENDOR,0,21465.12
2017-06-01,LOCAL SUPPLIERS,OTHER VENDOR,1,145385.46
2017-06-01,LOCAL SUPPLIERS,TRADE VENDOR,0,188236.76
2017-06-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1104136.82
2017-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,2185886.02
2017-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,111359.94
2017-07-01,LOCAL SUPPLIERS,OTHER VENDOR,0,17006.170000000002
2017-07-01,LOCAL SUPPLIERS,OTHER VENDOR,1,200364.45
2017-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,523976.19999999995
2017-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,2033049.05
2017-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,700384.66
2017-08-01,LOCAL SUPPLIERS,OTHER VENDOR,0,31101.97
2017-08-01,LOCAL SUPPLIERS,OTHER VENDOR,1,144181.76
2017-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,847109.74
2017-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1634632.94
2017-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,618866.76
2017-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,291559.65
2017-09-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16519.7
2017-09-01,LOCAL SUPPLIERS,OTHER VENDOR,1,151040.97
2017-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,572358.2
2017-09-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1469930.16
2017-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,625693.1
2017-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,283419.14
2017-10-01,LOCAL SUPPLIERS,OTHER VENDOR,0,30223.14
