item_code,description,week_start,selling_price
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-12,7.0
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-19,7.0
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-26,7.0
BLI001,BEEF LIVER,2022-12-05,3.8
BLU001,BEEF LUNG,2022-11-07,4.2
BMB001,BEEF MARROW BONE 5KG/PKT,2022-12-19,2.8
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-09-26,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-03,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-10,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-17,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-24,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-31,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-07,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-14,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-21,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-28,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-05,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-12,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-19,3.5
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-26,3.5
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-09-26,7.85
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-03,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-10,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-17,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-24,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-31,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-07,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-14,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-21,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-28,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-05,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-12,7.35
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-19,7.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-26,7.2
BMI003,BEEF- TRIMMING MINCED BEEF,2022-11-28,5.3
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-09-26,3.7
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-03,3.7
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-10,3.7
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-17,3.7
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-24,4.44
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-07,3.7
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-21,3.89
BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,2022-10-24,5.5
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-10-24,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-10-31,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-07,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-14,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-21,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-28,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-12-05,3.95
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-12-12,4.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-12-19,4.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-12-26,4.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-09-26,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-03,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-10,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-17,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-24,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-10-31,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-12-12,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-12-19,31.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),2022-12-26,31.0
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-09-26,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-03,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-10,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-17,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-24,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-10-31,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-11-07,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-11-28,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-12-05,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-12-12,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-12-19,19.5
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,2022-12-26,19.5
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-09-26,29.0
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-10-10,30.25
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-10-17,29.0
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-10-24,29.0
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),2022-12-12,31.0
BMS001,BEEF MEAT SLICED 6X2KG/CTNS [HALAL],2022-11-21,9.8
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-09-26,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-03,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-10,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-17,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-24,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-10-31,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-11-07,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-11-14,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-11-21,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-11-28,10.5
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,2022-12-05,10.0
