item_code,description,date,sales_price,purchase_price
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-11,,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-18,7.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-25,7.5,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-02,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-09,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-16,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-23,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-30,13.0,8.5
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-06,13.0,7.8
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-13,13.0,7.8
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-20,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-27,13.0,8.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-04,13.0,7.9
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-11,13.0,
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-18,13.0,7.9
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-25,13.0,7.9
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2023-01-01,13.0,
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-11-27,4.5,3.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-04,,
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-11,4.2,3.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-18,4.2,3.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-25,4.2,3.2
BFT006,BEEF PADDY WACK (QUALITY BEEF),2023-01-01,5.7,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-16,6.5,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-23,6.85,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-30,5.0,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-06,6.0,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-13,4.9,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-20,4.8,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-27,5.9,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-04,4.6,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-11,,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-18,4.5,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-25,5.95,
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2023-01-01,5.4,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-02,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-09,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-16,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-23,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-30,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-06,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-13,14.75,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-20,13.5,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-27,15.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-04,14.5,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-11,13.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-18,12.7,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-12-25,13.0,
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2023-01-01,12.8,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-10-30,15.0,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-06,,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-13,14.0,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-20,16.5,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-11-27,15.15,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-04,16.5,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-11,16.5,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-18,16.5,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2022-12-25,,
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),2023-01-01,16.5,
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-02,9.5,
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-09,9.5,
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-16,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-23,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-10-30,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-06,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-13,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-20,9.5,7.8
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-27,9.5,7.6
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-04,9.5,7.6
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-11,9.5,7.6
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-18,9.5,7.6
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-25,9.5,6.1
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2023-01-01,9.0,7.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-09,8.0,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-16,,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-23,8.0,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-30,7.0,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-06,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-13,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-20,8.0,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-27,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-04,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-11,8.0,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-18,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-25,8.5,
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2023-01-01,8.5,
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-02,6.6,
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-09,6.6,5.0
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-16,6.6,5.0
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-23,6.6,5.0
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-30,6.6,
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-11-06,6.6,
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-11-13,7.5,5.88
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-11-20,7.5,
BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-27,6.9,
BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-04,7.5,
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-13,7.5,5.3
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-20,7.5,5.3
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-27,,
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-04,7.5,
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-11,7.0,
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-18,7.0,5.3
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-25,7.0,5.3
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2023-01-01,7.0,5.3
BLI001,BEEF LIVER,2022-12-11,3.8,3.2
BLU001,BEEF LUNG,2022-11-13,4.2,2.65
BMB001,BEEF MARROW BONE 5KG/PKT,2022-12-25,2.8,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-02,3.5,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-09,3.5,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-16,3.5,1.9
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-23,3.5,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-10-30,3.5,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-06,3.5,2.0
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-13,3.5,2.0
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-20,3.5,2.0
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-11-27,3.5,2.1500000000000004
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-04,3.5,2.1
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-11,3.5,
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-18,3.5,2.1
BMB002,BEEF MARROW BONE CUT 2 INCH,2022-12-25,3.5,2.1
BMB002,BEEF MARROW BONE CUT 2 INCH,2023-01-01,3.5,2.1
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-02,7.85,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-09,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-16,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-23,7.5,4.5
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-10-30,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-06,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-13,7.4,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-20,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-11-27,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-04,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-11,7.2,
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-18,7.35,6.2
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2022-12-25,7.2,5.5
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,2023-01-01,7.2,
BMI003,BEEF- TRIMMING MINCED BEEF,2022-12-04,5.3,5.1
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-02,3.7,
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-09,3.7,2.8
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-16,3.7,2.8
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-23,3.7,
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-10-30,4.44,
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-06,,
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-13,3.7,2.34
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-20,3.6,2.34
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,2022-11-27,3.89,
BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,2022-10-30,5.5,4.7
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-10-30,3.95,3.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,2022-11-06,3.95,3.0
