week_start,item_code,description,vendor_code,vendor_name,price,group_average_price,group_min_price,group_max_price
2022-12-12,DUCK06,DUCK HEAD 5KG/PKT,UVK0007,KENDO TRADING PTE LTD,2.0,2.0,2.0,3.5
2022-12-12,DUCK06,DUCK HEAD 5KG/PKT,UVM0001,MUA HIN POULTRY FARM PTE LTD,2.7,2.0,2.0,3.5
2022-12-12,DUCK07,DUCK FEET,UVK0007,KENDO TRADING PTE LTD,3.2,3.2,3.2,3.2
2022-12-12,DUCK08,DUCK NECKS SKINLESS  10kg/ctn,UVK0007,KENDO TRADING PTE LTD,2.6,2.6,2.6,2.6
2022-12-12,DUCK13,DUCK GIZZARD,UVK0007,KENDO TRADING PTE LTD,3.2,3.2,3.2,3.2
2022-12-12,FBA001-01,FISH- WHOLE BATANG 2-3 FRESH - CLEAN & GUTTER,UVS0005,SONG FISH DEALER PTE LTD,16.5,6.8,5.5,8.2
2022-12-12,FBA001-05,FISH- FRESH SPANISH MACKEREL,UVA0030,AH TECK (TNL),9.0,9.0,7.5,10.5
2022-12-12,FBA006-01,FISH- BATANG STEAK 3-5 2kgX5pkt,UVS0005,SONG FISH DEALER PTE LTD,6.5,6.5,6.1,6.5
2022-12-12,FBE004,FISH- BELT FISH STEAK 150-200GM 10X1KG/CTNS,UVC0001,CASH SUPPLIER (NON-GST),5.0,4.5,4.0,5.0
2022-12-12,FBE004,FISH- BELT FISH STEAK 150-200GM 10X1KG/CTNS,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,4.0,4.5,4.0,5.0
2022-12-12,FBE006,FISH- BELT FISH ROLL 10X1KG/CTNS,UVL0005,LEE HUAT SEAFOOD SUPPLIER,5.0,5.0,5.0,5.0
2022-12-12,FCS001-02,FISH- SASHIMI SALMON CUT 230-250GM,UVS0046,STS SEAFOOD DIRECT PTE LTD,55.0,50.0,49.0,58.0
2022-12-12,FCU001,FISH- CUTTLEFISH 5kg/pkt,UVL0027,LIAN HE FA FOOD MANUFACTURING SDN BHD,20.4,5.1,5.1,5.1
2022-12-12,FCU002,FISH- BABY CUTTLEFISH 40-60 12X1KG/CTNS,UVT0006,THE SEAFOOD COMPANY PTE LTD,9.8,8.5,8.5,9.8
2022-12-12,FGR004,FISH- FRESH FLOWER GROUPER,UVT0021,T&L INDUSTRIES PTE LTD,36.0,10.5,9.5,13.0
2022-12-12,FKE003,FISH- KEMBONG 8-10pcs 2kg X 5pkt/ctns,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,3.0,3.0,3.0,3.0
