item_code,description,date,quantity,purchase_quantity
BSP004,BEEF SHORT PLATE BONELESS 2MM 1KG/PKT,2022-12-01,372.0,0.0
BSR001,BEEF SHORTRIB BONE IN 500GM/PKT,2022-10-01,37.0,0.0
BSR001,BEEF SHORTRIB BONE IN 500GM/PKT,2022-11-01,5.0,0.0
BSR001,BEEF SHORTRIB BONE IN 500GM/PKT,2022-12-01,6.0,0.0
BSR002-01,BEEF SHORTRIB BONELESS CHOICE OR HIGHER SWIFT,2022-10-01,28.22,0.0
BSR002-01,BEEF SHORTRIB BONELESS CHOICE OR HIGHER SWIFT,2022-11-01,49.440000000000005,19.28
BSR002-01,BEEF SHORTRIB BONELESS CHOICE OR HIGHER SWIFT,2022-12-01,44.900000000000006,17.735
BSR004-03,BEEF SHORTRIB BONE IN (BEAUVALLET-BRAZIL),2022-11-01,38.08,38.08
BSR004-03,BEEF SHORTRIB BONE IN (BEAUVALLET-BRAZIL),2022-12-01,19.5,19.5
BSU001-01,BEEF SUKIYAKI (TFP) 400gmX20pkt,2022-10-01,310.0,200.0
BSU001-01,BEEF SUKIYAKI (TFP) 400gmX20pkt,2022-11-01,199.0,0.0
BSU001-02,BEEF SUKIYAKI (BUTHER'S RIDGE) 400GMX20PKT,2022-11-01,30.0,80.0
BSU001-02,BEEF SUKIYAKI (BUTHER'S RIDGE) 400GMX20PKT,2022-12-01,352.0,200.0
BSU003,BEEF SHABU SHABU (TFP) 400gmX20pkt,2022-10-01,470.0,200.0
BSU003,BEEF SHABU SHABU (TFP) 400gmX20pkt,2022-11-01,218.0,0.0
BSU003-02,BEEF SHABU SHABU (BUTHER'S RIDGE) 400GMX20PKT,2022-11-01,10.0,100.0
BSU003-02,BEEF SHABU SHABU (BUTHER'S RIDGE) 400GMX20PKT,2022-12-01,482.0,250.0
BTA001,BEEF TAIL 500gmX20pkt,2022-10-01,10.0,40.0
BTA001,BEEF TAIL 500gmX20pkt,2022-11-01,32.0,0.0
BTA001,BEEF TAIL 500gmX20pkt,2022-12-01,35.0,0.0
BTA004,BEEF TAIL,2022-12-01,102.89,125.67
BTL002,BEEF TENDERLOIN (QUALITY BEEF-BRAZIL),2022-10-01,175.34,0.0
BTL002,BEEF TENDERLOIN (QUALITY BEEF-BRAZIL),2022-11-01,345.37,0.0
BTL002,BEEF TENDERLOIN (QUALITY BEEF-BRAZIL),2022-12-01,401.34999999999997,133.8
BTO001,BEEF TONGUE,2022-10-01,14.54,14.54
BTO002,BEEF TONGUE SWISS CUT IWP HARVEY,2022-12-01,16.8,16.8
BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,2022-10-01,1058.9,330.0
BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,2022-11-01,1067.8,330.0
BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,2022-12-01,1026.8,440.0
BTR001-01,BEEF TRIPE HONEYCOMB (SCAN) 17KG/CTNS,2022-10-01,17.0,0.0
BTR003-02,BEEF TRIPE HONEYCOMB (QUALITY),2022-10-01,1267.45,345.28999999999996
BTR003-02,BEEF TRIPE HONEYCOMB (QUALITY),2022-11-01,272.06,0.0
BTR003-02,BEEF TRIPE HONEYCOMB (QUALITY),2022-12-01,52.19,0.0
BUNDLE-01,SET A $88 - ABALONE 8's 2cans     +     BAK KUA 500GM X 2pkt,2022-12-01,7.0,0.0
BUNDLE-02,SET B $48 - ABALONE 8's 1cans     +     BAK KUA 500GM X 1pkt,2022-12-01,34.0,0.0
BUNDLE-03,SET B $48 - ABALONE 10's 1cans     +     BAK KUA 500GM X 1pkt,2022-12-01,1.0,0.0
