pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_min_price,summary_sales_max_price
OPO002-04,,,2021-09-01 - 2023-09-08,17.6,17.6,2021-09-01 - 2023-09-08,2021-12-23,21.0,18.35,21.0
OPO002-05,,,2023-03-01 - 2023-09-08,7.0,7.0,2023-03-01 - 2023-09-08,2023-08-30,7.9,7.9,7.95
OPO002-06,,,2023-03-01 - 2023-09-08,3.8,3.8,2023-03-01 - 2023-09-08,2023-09-02,5.5,5.5,5.9
OPO002-07,,,2023-03-01 - 2023-09-08,8.2,8.2,2023-03-01 - 2023-09-08,2023-09-05,11.5,11.5,11.5
OPO003,,,2023-03-01 - 2023-09-08,4.25,4.4,2023-03-01 - 2023-09-08,2023-09-07,5.08,4.3,8.18
OPO003-01,,,2023-03-01 - 2023-09-08,8.0,8.4,2023-03-01 - 2023-09-08,2023-09-06,11.5,0.01,11.5
OPO003-02,,,2021-09-01 - 2023-09-08,3.6,3.6,2023-03-01 - 2023-09-08,2023-03-03,5.0,5.0,5.0
OPO003-04,,,,,,2023-03-01 - 2023-09-08,2023-08-24,8.3,7.9,11.94
OPO003-05,,,,,,2023-03-01 - 2023-09-08,2023-09-02,8.24,4.0,12.59
OPO003-06,,,2023-03-01 - 2023-09-08,3.95,3.95,2023-03-01 - 2023-09-08,2023-09-03,4.95,4.3,4.95
OPO004,,,2023-03-01 - 2023-09-08,5.85,5.85,2023-03-01 - 2023-09-08,2023-09-06,7.4,7.4,7.55
OPO004-03,,,2023-03-01 - 2023-09-08,3.1,3.1,2023-03-01 - 2023-09-08,2023-08-30,4.2,4.0,4.4
OPO004-04,,,2023-03-01 - 2023-09-08,5.2,5.54,2023-03-01 - 2023-09-08,2023-09-07,7.4,5.4,8.8
OPO005,,,2023-03-01 - 2023-09-08,2.0,5.85,2023-03-01 - 2023-09-08,2023-08-29,6.4,6.2,6.5
OPO005-02,,,2023-03-01 - 2023-09-08,3.9,3.9,2023-03-01 - 2023-09-08,2023-09-02,7.47,4.1,7.59
OPO006,,,2023-03-01 - 2023-09-08,7.8,7.9,2023-03-01 - 2023-09-08,2023-09-06,9.63,7.91,11.57
OPO006-01,,,2021-09-01 - 2023-09-08,2.8,2.8,2021-09-01 - 2023-09-08,2022-09-22,2.5,2.5,4.5
OPO006-02,,,2023-03-01 - 2023-09-08,3.8,4.0,2023-03-01 - 2023-09-08,2023-09-04,4.5,4.0,5.5
OPO006-03,,,2023-03-01 - 2023-09-08,4.0,4.2,2023-03-01 - 2023-09-08,2023-09-05,4.5,4.4,4.95
OPO006-04,,,2023-03-01 - 2023-09-08,8.0,8.2,2023-03-01 - 2023-09-08,2023-08-15,9.6,8.2,12.0
OPO008,,,2023-03-01 - 2023-09-08,5.85,5.85,2023-03-01 - 2023-09-08,2023-09-05,7.5,7.2,7.55
OPO010,,,2021-09-01 - 2023-09-08,3.7,3.7,2021-09-01 - 2023-09-08,2022-02-15,4.1,3.9,4.1
OPO010-02,,,,,,2021-09-01 - 2023-09-08,2021-09-12,10.0,10.0,10.3
OPO011,,,2023-03-01 - 2023-09-08,8.4,8.6,2023-03-01 - 2023-09-08,2023-09-06,11.5,9.5,17.41
OPO013,,,,,,2021-09-01 - 2023-09-08,2022-03-21,6.2,4.1,6.2
OPO013-01-01,,,2023-03-01 - 2023-09-08,8.2,8.4,2023-03-01 - 2023-09-08,2023-08-28,9.0,8.5,11.0
OPO013-02,,,2023-03-01 - 2023-09-08,3.0,3.0,2023-03-01 - 2023-09-08,2023-09-05,4.5,3.8,4.5
OPO013-06,,,2023-03-01 - 2023-09-08,3.7,3.9,2023-03-01 - 2023-09-08,2023-09-05,4.5,4.4,12.0
OPO015-02,,,2021-09-01 - 2023-09-08,7.7,7.95,2021-09-01 - 2023-09-08,2022-12-01,10.0,8.6,10.0
OPO015-03,,,2023-03-01 - 2023-09-08,3.95,4.05,2023-03-01 - 2023-09-08,2023-08-30,4.95,4.8,5.0
OPO017,,,2021-09-01 - 2023-09-08,3.8,4.2,2021-09-01 - 2023-09-08,2022-11-30,5.3,4.1,5.5
OPO020,,,2021-09-01 - 2023-09-08,2.8,2.8,2021-09-01 - 2023-09-08,2022-11-25,4.8,4.2,4.8
OPO021,,,2021-09-01 - 2023-09-08,3.0,3.0,2021-09-01 - 2023-09-08,2022-09-29,4.8,4.4,4.8
OPO021-01,,,2021-09-01 - 2023-09-08,3.0,3.0,2021-09-01 - 2023-09-08,2022-06-01,4.6,4.6,4.6
OPO021-03,,,,,,2021-09-01 - 2023-09-08,2021-09-22,4.0,4.0,4.0
OPO021-05,,,2023-03-01 - 2023-09-08,0.2,0.2,2023-03-01 - 2023-09-08,2023-06-01,1.0,1.0,1.0
OPO021-06,,,2023-03-01 - 2023-09-08,3.95,4.2,2023-03-01 - 2023-09-08,2023-09-03,4.95,4.8,5.0
OPO021-07,,,2021-09-01 - 2023-09-08,8.0,8.0,2021-09-01 - 2023-09-08,2022-02-23,9.3,9.3,9.3
OPO021-08,,,2023-03-01 - 2023-09-08,11.3,11.3,2023-03-01 - 2023-09-08,2023-06-07,17.87,11.5,18.43
OPO021-09,,,2023-03-01 - 2023-09-08,4.2,4.2,2023-03-01 - 2023-09-08,2023-08-31,5.9,5.9,5.9
OPO021-10,,,2023-03-01 - 2023-09-08,4.2,4.2,2023-03-01 - 2023-09-08,2023-08-31,5.9,5.9,5.9
OPO021-11,,,2023-03-01 - 2023-09-08,9.7,9.7,2023-03-01 - 2023-09-08,2023-08-19,13.0,13.0,13.0
OPO022,,,2021-09-01 - 2023-09-08,2.5,2.5,2021-09-01 - 2023-09-08,2021-12-01,4.0,4.0,4.0
OPO022-04,,,2021-09-01 - 2023-09-08,2.6,2.6,2021-09-01 - 2023-09-08,2021-12-01,4.6,4.6,4.6
OPO024,,,2023-03-01 - 2023-09-08,3.5,3.6,2023-03-01 - 2023-09-08,2023-09-07,5.83,3.7,10.5
OPO024-01,,,2023-03-01 - 2023-09-08,7.2,7.3,2023-03-01 - 2023-09-08,2023-09-01,8.5,7.4,11.94
OPO024-02,,,2023-03-01 - 2023-09-08,4.2,4.3,2023-03-01 - 2023-09-08,2023-08-02,5.0,5.0,5.0
OPO024-03,,,2023-03-01 - 2023-09-08,4.0,4.0,2023-03-01 - 2023-09-08,2023-04-15,5.0,5.0,5.0
OPO025-01,,,2023-03-01 - 2023-09-08,3.8,3.8,2023-03-01 - 2023-09-08,2023-09-05,5.5,5.5,5.5
