pdt_code,pdt_name,current_inv,purchases_data_date_range,purchases_min_price,purchases_max_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_min_price,sales_max_price
PS-04,PORK LEG SLICED 8mm 2kgX5pkt,180.0,,,,2023-04-01 - 2023-10-03,2023-10-01,5.5,5.5,5.5
PS-05,PORK LEG SLICED 1kg/pkt,0.0,,,,2023-04-01 - 2023-10-03,2023-05-05,4.8,4.8,4.8
PS-07,四度房PORK LEG SLICED 3mm 1.8KG NET,638.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.02,4.3,5.7
PSHO01,PORK SHOULDER (EXCELENCIA),0.0,,,,2021-10-01 - 2023-10-03,2022-05-18,4.8,3.5,4.8
PSHO02-02,PORK SHOULDER (AURORA) 18kg/ctn,28998.0,2023-04-01 - 2023-10-03,2.8,4.2,2023-04-01 - 2023-10-03,2023-10-03,3.5,2.9,4.8
PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,15035.3,2023-04-01 - 2023-10-03,3.33,4.3,2023-04-01 - 2023-10-03,2023-10-03,3.6,3.6,4.8
PSHO04,PORK SHOULDER (SULINA) 18kg/ctn,0.0,2023-04-01 - 2023-10-03,3.33,3.33,2023-04-01 - 2023-10-03,2023-07-20,3.7,3.7,3.7
PSHO06,PORK SHOULDER BUTT KURO 500gm X 20pkt,70.0,2023-04-01 - 2023-10-03,4.6,4.8,2023-04-01 - 2023-10-03,2023-09-27,5.9,5.9,5.9
PSHO07,PORK SHOULDER (FRIMESA) 25KG/CTNS,0.0,2021-10-01 - 2023-10-03,2.9,3.6,2021-10-01 - 2023-10-03,2022-12-02,3.65,3.4,3.65
PSHT01,PORK LACONE GERMANY,0.0,2023-04-01 - 2023-10-03,3.2,3.5,2023-04-01 - 2023-10-03,2023-07-10,3.9,3.3,5.5
PSHT02,PORK LACONE / SHANK SAW CUT (BEC),0.0,2021-10-01 - 2023-10-03,3.4,3.4,2021-10-01 - 2023-10-03,2022-11-16,4.0,4.0,4.0
PSHT03,PORK LACONE / SHANK (BOSELER-GERMANY),2096.41,2023-04-01 - 2023-10-03,2.88,2.88,2023-04-01 - 2023-10-03,2023-09-29,3.68,3.3,4.1
PSHT04,PORK LACONE / SHANK CUT,13.6,,,,2023-04-01 - 2023-10-03,2023-08-23,3.7,3.7,3.7
PSKI01,PORK SKIN 5kg/pkt,286.06,2023-04-01 - 2023-10-03,1.0,1.9,2023-04-01 - 2023-10-03,2023-10-03,2.5,1.1,3.5
PSKI02,PORK BACK SKIN (WILLMS-DENMARK),0.0,2023-04-01 - 2023-10-03,2.8,2.8,2023-04-01 - 2023-10-03,2023-09-07,3.3,3.3,3.5
PSKI03,PORK SKIN 10kg/ctn,0.0,2023-04-01 - 2023-10-03,1.67,1.7,2023-04-01 - 2023-10-03,2023-09-15,2.5,2.3,2.5
PSKI05,PORK SKIN FRY 3KG/PKT,1.0,2023-04-01 - 2023-10-03,57.0,57.0,2023-04-01 - 2023-10-03,2023-09-04,65.0,65.0,65.0
PSKI06,PORK BELLY SKIN MACOBA,0.0,2023-04-01 - 2023-10-03,2.8,2.8,2023-04-01 - 2023-10-03,2023-09-14,3.5,3.5,3.5
PSOF01,PORK SOFTBONE (ATRIA-FINLAND) 13.61kg/ctns,0.0,2023-04-01 - 2023-10-03,62.6,62.6,2023-04-01 - 2023-10-03,2023-06-14,68.0,49.0,88.4
PSOF010,PORK SOFTBONE (TONNIES-),0.0,2023-04-01 - 2023-10-03,2.0,4.0,2023-04-01 - 2023-10-03,2023-07-12,4.5,4.5,6.5
PSOF02,PORK SOFTBONE CUT A 5KG/PKT,889.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.04,4.1,5.5
PSOF02-01,PORK SOFTBONE CUBE 1KG/PKT,0.0,,,,2021-10-01 - 2023-10-03,2022-02-18,4.8,4.8,4.8
PSOF02-02,PORK SOFTBONE CUT 3INCH X 1INCH,0.0,,,,2023-04-01 - 2023-10-03,2023-06-14,5.2,5.2,5.2
PSOF02-03,"PORK SOFTBONE CUT 1""x 2"" _ 02  5kg/pkt",85.0,,,,2023-04-01 - 2023-10-03,2023-08-30,5.2,5.0,5.2
PSOF02-05,PORK SOFTBONE CUT 1' X 1' _ 01,545.0,,,,2023-04-01 - 2023-10-03,2023-09-30,5.0,5.0,5.1
PSOF02-06,PORK SOFTBONE CUT 2.5CM (FINLAND),0.0,,,,2023-04-01 - 2023-10-03,2023-08-11,5.1,5.1,5.1
PSOF03,HOUSE BRAND:PORK SOFTBONE CUBE (UF) 500GMX20PKT,24.0,,,,2023-04-01 - 2023-10-03,2023-10-03,4.05,2.2,9.44
PSOF05,PORK SOFTBONE (BOSELER) 15kg/ctns,225.0,2023-04-01 - 2023-10-03,5.3,5.5,2023-04-01 - 2023-10-03,2023-09-30,7.2,6.0,68.0
PSOF07,PORK SOFTBONE (FI 62 EY-FINLAND) 10kg/ctn,0.0,2021-10-01 - 2023-10-03,4.21,4.37,2023-04-01 - 2023-10-03,2023-05-18,6.0,5.4,6.5
PSOF09,PORK SOFTBONE ALEGRA-BRAZIL,0.0,2023-04-01 - 2023-10-03,3.9,3.9,2023-04-01 - 2023-10-03,2023-07-14,4.3,4.3,4.3
PSOF17,PORK SOFTBONE (RAATAL-AUST),450.0,2023-04-01 - 2023-10-03,4.1,4.1,2023-04-01 - 2023-10-03,2023-10-03,5.5,4.5,6.8
PSOF18,PORK BELLY SOFTBONE (TONNIE-GERMANY),24710.0,2023-04-01 - 2023-10-03,3.87,3.87,2023-04-01 - 2023-10-03,2023-10-03,4.5,3.9,4.8
PSPA01,PORK- SPARERIB CUT 2''-2.5'' 5KGX2PKT/CTNS,2210.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.86,5.3,6.9
PSPA02,PORK- SPARERIB CUT 3'' 5KGX2PKT/CTNS,805.0,,,,2023-04-01 - 2023-10-03,2023-10-03,6.05,5.5,6.5
PSPA03,PORK- SPARERIB CUT 4'',54.0,,,,2023-04-01 - 2023-10-03,2023-10-01,6.0,5.8,6.2
PSPA04,PORK- SPARERIB CUT 3'' 18KG/CTNS,0.0,,,,2023-04-01 - 2023-10-03,2023-07-12,7.0,7.0,7.0
PSPA05,PORK- SPARERIB CUT 3.5'' 5KGX2PKT/CTNS,0.0,,,,2023-04-01 - 2023-10-03,2023-08-03,6.0,6.0,6.0
PSPA06,PORK- SPARERIB (ALEGRA),4626.89,2023-04-01 - 2023-10-03,4.5,5.0,2023-04-01 - 2023-10-03,2023-10-03,5.5,5.1,6.5
PSPA07,PORK- SPARERIB (FRIMESA) 20KG,192.26,2023-04-01 - 2023-10-03,5.1,5.6,2023-04-01 - 2023-10-03,2023-10-03,5.85,5.55,6.5
PSPA08,PORK- SPARERIB SAUDALI 17KG/CTNS,0.0,2021-10-01 - 2023-10-03,4.5,4.7,2021-10-01 - 2023-10-03,2022-06-23,6.5,4.9,6.5
PSPA09,PORK- SPARERIB ALIBEM 22KG,0.0,2023-04-01 - 2023-10-03,4.1,4.1,2023-04-01 - 2023-10-03,2023-05-11,5.6,5.6,5.6
PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 716*,2655.22,2023-04-01 - 2023-10-03,3.0,5.0,2023-04-01 - 2023-10-03,2023-10-03,5.7,4.0,7.8
PSPA10,PORK SPARERIB (KURO) 500gmX20pkt,137.0,2023-04-01 - 2023-10-03,4.2,4.3,2023-04-01 - 2023-10-03,2023-09-27,5.4,4.5,5.9
PSPA11,HOUSE BRAND:PORK SPARERIB (UF) 500GMX20PKT,33.0,,,,2023-04-01 - 2023-10-03,2023-09-30,4.6,3.5,8.19
PSPA12,PORK- SPARERIB 18KG SULINA PLANT 1,540.0,2023-04-01 - 2023-10-03,4.2,4.65,2023-04-01 - 2023-10-03,2023-08-24,4.6,4.6,4.85
PSPA16,PORK- SPARERIB (SEARA) 18kg/ctn,0.0,2023-04-01 - 2023-10-03,4.4,4.4,2023-04-01 - 2023-10-03,2023-05-15,5.6,5.6,5.6
PSPA19,PORK- ST LOUIS SPARERIB (SWIFT-USA),0.0,2021-10-01 - 2023-10-03,14.5,14.5,2021-10-01 - 2023-10-03,2021-11-03,15.5,15.5,15.5
PSPA20,PORK- PORK SHOULDER SPARERIB KEKEN 450-600GM,0.0,2021-10-01 - 2023-10-03,5.95,16.0,2021-10-01 - 2023-10-03,2021-12-23,16.5,16.5,16.5
PSPA21,PORK- SPARERIB - PIGLET (BECK),10.0,2023-04-01 - 2023-10-03,2.3,2.3,2023-04-01 - 2023-10-03,2023-10-02,2.8,2.8,2.8
PSTC01,PORK STOMACH SLICED 2KG/PKT,18.0,,,,2023-04-01 - 2023-10-03,2023-10-03,7.0,5.5,9.2
PSTC02,PORK STOMACH SLICED 500GM/PKT,0.0,,,,2023-04-01 - 2023-10-03,2023-09-02,5.53,4.2,6.02
PSTO02,PORK STOMACH MAW UNSCALDED (AUST 822) 15KG/CTNS,75.0,2021-10-01 - 2023-10-03,4.6,4.6,2023-04-01 - 2023-10-03,2023-09-10,6.0,5.0,6.0
PSTO03,PORK STOMACH RAW SPAIN-ICP 10KG/CTNS,30.0,2021-10-01 - 2023-10-03,2.62,4.8,2023-04-01 - 2023-10-03,2023-09-08,5.97,3.0,6.0
